YEAR,MO,DY,HR,PS,WS10M,WD10M,PRECTOTCORR,RH2M,QV2M,T2M,T2MDEW,T2MWET,WS50M,WD50M
2024,6,1,0,91.83,2.84,47.23,0.0,50.44,10.99,25.09,14.13,19.61,5.16,48.56
2024,6,1,1,91.8,2.81,47.14,0.0,52.19,10.86,24.33,13.97,19.15,5.03,48.53
2024,6,1,2,91.8,2.72,47.33,0.0,53.62,10.68,23.62,13.73,18.68,4.59,48.66
2024,6,1,3,91.81,2.67,52.49,0.0,54.06,10.44,23.13,13.4,18.27,4.3,54.09
2024,6,1,4,91.84,2.55,63.43,0.0,53.19,10.19,22.98,13.02,18.01,4.02,65.82
2024,6,1,5,91.89,2.46,75.26,0.0,52.31,10.01,22.97,12.75,17.86,3.99,78.58
2024,6,1,6,91.97,2.31,84.77,0.0,50.06,11.11,25.46,14.34,19.9,3.87,86.41
2024,6,1,7,92.04,3.44,116.16,0.0,37.25,10.13,28.91,12.82,20.87,4.22,119.6
2024,6,1,8,92.08,4.07,136.71,0.0,33.38,10.25,31.04,13.0,22.01,4.52,134.58
2024,6,1,9,92.08,3.26,150.54,0.0,30.25,10.13,32.64,12.89,22.76,3.31,146.16
2024,6,1,10,92.07,2.7,172.34,0.0,27.5,9.95,34.0,12.6,23.3,2.54,169.35
2024,6,1,11,92.03,2.63,194.08,0.0,24.69,9.58,35.28,12.05,23.66,2.43,195.11
2024,6,1,12,91.96,2.76,210.85,0.0,22.69,9.28,36.15,11.55,23.85,2.63,214.21
2024,6,1,13,91.89,2.81,224.66,0.0,21.31,8.97,36.68,11.01,23.85,2.8,228.96
2024,6,1,14,91.81,2.84,238.28,0.0,20.31,8.61,36.8,10.41,23.61,2.97,242.9
2024,6,1,15,91.76,2.88,248.17,0.0,19.81,8.24,36.53,9.81,23.17,3.14,252.33
2024,6,1,16,91.71,2.88,256.83,0.0,19.88,8.0,35.81,9.27,22.54,3.28,260.13
2024,6,1,17,91.72,2.63,265.56,0.0,21.12,7.93,34.65,9.2,21.93,3.21,267.21
2024,6,1,18,91.75,1.5,274.79,0.0,32.94,10.74,32.11,13.73,22.91,2.47,275.82
2024,6,1,19,91.83,1.02,301.49,0.0,31.5,9.64,30.98,12.04,21.51,1.5,300.3
2024,6,1,20,91.9,0.95,356.72,0.0,31.25,9.22,30.29,11.34,20.82,1.32,352.5
2024,6,1,21,91.96,1.56,34.17,0.0,35.12,9.46,28.73,11.75,20.24,2.18,33.92
2024,6,1,22,91.99,2.33,47.86,0.0,42.38,9.89,26.32,12.49,19.4,3.55,48.48
2024,6,1,23,91.98,2.66,49.76,0.0,45.75,9.83,24.93,12.44,18.69,4.42,50.6
2024,6,2,0,91.97,2.78,48.87,0.0,48.12,9.77,23.96,12.35,18.15,4.98,50.29
2024,6,2,1,91.94,2.81,47.93,0.0,50.56,9.77,23.17,12.38,17.78,5.15,49.3
2024,6,2,2,91.93,2.78,47.51,0.0,52.69,9.77,22.51,12.42,17.47,5.02,49.04
2024,6,2,3,91.94,2.76,48.91,0.0,53.44,9.64,22.05,12.21,17.13,4.79,50.63
2024,6,2,4,91.98,2.66,52.15,0.0,52.75,9.4,21.88,11.85,16.87,4.37,54.38
2024,6,2,5,92.04,2.47,57.11,0.0,51.0,9.22,22.04,11.48,16.76,3.91,59.9
2024,6,2,6,92.08,2.01,62.74,0.0,48.44,10.13,24.51,12.95,18.73,3.42,64.43
2024,6,2,7,92.12,2.16,96.23,0.0,32.94,8.54,28.14,10.26,19.19,2.51,100.75
2024,6,2,8,92.14,1.74,140.66,0.0,25.81,7.75,30.69,8.84,19.77,1.71,134.81
2024,6,2,9,92.13,1.63,191.63,0.0,22.19,7.51,32.82,8.44,20.63,1.31,192.05
2024,6,2,10,92.1,2.43,221.08,0.0,20.31,7.51,34.4,8.44,21.42,2.17,227.77
2024,6,2,11,92.04,3.22,234.58,0.0,19.12,7.57,35.65,8.59,22.12,3.15,240.89
